"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33013016240000","1319.722","996.835","1468.939","1359.517","1376.737","1102.548","20277","3475","28170","34093","39014","12989","35806","13722","51089","61871","70169","24242","63.845","79.793","64.458","64.473","64.267","65.112"
"33053022570000","1274.614","348.367","1537.247","1557.192","","977.812","2265","643","3799","5499","","1307","6802","1265","13321","19518","","3671","75.019","66.3","77.81","78.019","","73.744"
"33105029030000","658.828","653.924","646.299","635.905","","652.674","37465","8397","63237","81638","","23370","58424","23294","85131","104357","","40105","60.929","73.504","57.378","56.107","","63.182"
"33105017100000","1218.907","1340.624","1255.403","1167.726","1179.413","1286.208","60962","18516","90837","111402","131629","40198","35533","17298","52649","63335","72423","26696","36.824","48.3","36.693","36.246","35.492","39.908"
"33089007030000","389.289","284.446","380.38","383.48","392.725","300.767","26366","6982","39153","46936","53083","17339","20260","5148","32218","40788","44956","13204","43.452","42.44","45.142","46.496","45.855","43.231"
"33055001410000","735.645","967.887","645.826","617.808","620.863","802.059","56602","17065","93437","124953","151159","37693","6992","1588","13348","19547","24510","4754","10.995","8.513","12.5","13.527","13.952","11.2"
"33025021970000","450.458","104.1","","","","190.459","88794","24928","","","","53203","107690","29649","","","","64714","54.809","54.325","","","","54.881"
"33053058870000","","925.117","","","","899.973","","17948","","","","40909","","28582","","","","53063","","61.427","","","","56.467"
"33053030570000","1123.494","894.646","1072.336","1123.739","1174.128","1109.653","136905","25030","267254","371281","458231","70705","8718","1583","15241","19345","24643","4607","5.987","5.948","5.395","4.952","5.103","6.117"
"33023007870000","607.567","408.327","629.848","667.462","695.16","562.302","46543","10472","79878","103889","118823","25561","40038","13712","61491","81186","97146","24653","46.243","56.699","43.497","43.867","44.981","49.096"
"33061030910000","","1234.889","","","","1287.213","","19158","","","","37279","","545","","","","5494","","2.766","","","","12.845"
"33009023220000","160.381","143.769","155.96","","","167.386","14690","3290","20050","","","9493","16287","4233","21847","","","10550","52.578","56.267","52.145","","","52.637"
"33061021230000","1041.757","961.327","966.406","934.337","941.712","934.898","36377","11662","66053","86319","103331","22672","34358","14776","52081","68932","81771","24365","48.573","55.889","44.086","44.4","44.176","51.8"
"33053031410000","1084.125","1125.345","1088.137","1191.406","1212.125","1117.264","71536","20631","129787","180668","217372","47022","19981","9496","31277","41134","47029","15085","21.833","31.52","19.419","18.545","17.787","24.289"
"33025025430000","","","","","","","","","","","","","","","","","","","","","","","",""
"33053031600000","1719.651","1451.312","1753.248","1952.327","1988.71","1469.729","69574","21535","103849","127765","146862","41756","12144","5678","17712","21876","24766","8263","14.861","20.865","14.57","14.619","14.43","16.52"
"33105025840000","1547.928","3153.506","1496.539","","","1874.256","48364","3622","77863","","","30427","54484","11007","77821","","","39143","52.975","75.241","49.987","","","56.264"
